Motif_ID	motifLen
M03712_2.00	9
M06180_2.00	25
M06181_2.00	25
M03673_2.00	13
M06085_2.00	11
M06086_2.00	13
M06087_2.00	13
M03666_2.00	14
M06056_2.00	10
M06057_2.00	15
M06165_2.00	16
M03684_2.00	14
M03685_2.00	14
M06068_2.00	11
M09663_2.00	14
M03670_2.00	12
M05862_2.00	13
M06069_2.00	10
M06070_2.00	10
M06071_2.00	14
M09664_2.00	9
M10375_2.00	13
M10376_2.00	14
M03674_2.00	16
M03675_2.00	17
M06088_2.00	13
M06089_2.00	14
M03682_2.00	14
M06117_2.00	11
M06118_2.00	14
M06159_2.00	15
M06160_2.00	15
M06109_2.00	16
M06110_2.00	15
M06072_2.00	14
M06073_2.00	14
M10377_2.00	0
M08412_2.00	21
M03688_2.00	13
M06132_2.00	14
M06133_2.00	15
M03679_2.00	10
M06113_2.00	10
M07541_2.00	10
M10379_2.00	0
M05863_2.00	10
M06074_2.00	12
M06075_2.00	9
M06076_2.00	9
M06077_2.00	7
M06469_2.00	9
M09665_2.00	10
M10378_2.00	8
M06166_2.00	8
M06167_2.00	15
M03664_2.00	13
M03665_2.00	13
M06051_2.00	7
M06052_2.00	8
M06148_2.00	10
M06149_2.00	20
M01175_2.00	10
M01176_2.00	8
M01177_2.00	10
M02673_2.00	9
M01446_2.00	10
M01178_2.00	10
M01447_2.00	9
M01448_2.00	10
M01179_2.00	10
M01449_2.00	9
M01450_2.00	8
M01472_2.00	10
M01188_2.00	10
M02872_2.00	14
M04382_2.00	12
M04383_2.00	12
M00983_2.00	10
M00984_2.00	8
M00985_2.00	10
M07926_2.00	15
M08881_2.00	17
M10187_2.00	0
M00986_2.00	9
M00987_2.00	10
M00988_2.00	9
M04453_2.00	19
M04454_2.00	19
M00227_2.00	10
M00228_2.00	10
M04424_2.00	16
M04425_2.00	16
M04426_2.00	16
M04427_2.00	16
M08877_2.00	13
M10180_2.00	0
M10181_2.00	0
M10182_2.00	0
M10183_2.00	0
M10184_2.00	0
M02896_2.00	17
M04499_2.00	16
M04500_2.00	16
M04501_2.00	16
M04502_2.00	16
M02878_2.00	17
M05846_2.00	17
M07550_2.00	15
M07551_2.00	11
M07552_2.00	19
M07862_2.00	21
M07863_2.00	16
M07864_2.00	15
M07865_2.00	16
M07866_2.00	15
M07867_2.00	13
M07868_2.00	15
M07869_2.00	15
M07870_2.00	15
M07871_2.00	15
M07872_2.00	15
M07873_2.00	21
M07874_2.00	15
M07875_2.00	15
M07876_2.00	15
M07877_2.00	15
M07878_2.00	15
M07879_2.00	15
M07880_2.00	15
M07881_2.00	15
M07882_2.00	12
M07883_2.00	17
M07884_2.00	15
M07885_2.00	15
M07886_2.00	15
M07887_2.00	18
M07888_2.00	15
M07889_2.00	14
M07890_2.00	13
M07891_2.00	18
M07892_2.00	15
M07893_2.00	15
M07894_2.00	17
M07895_2.00	18
M07896_2.00	15
M07897_2.00	15
M07898_2.00	14
M07899_2.00	20
M07900_2.00	17
M07901_2.00	11
M07902_2.00	15
M07903_2.00	13
M07904_2.00	15
M07905_2.00	12
M07906_2.00	18
M07907_2.00	18
M07908_2.00	21
M07909_2.00	15
M07910_2.00	20
M07911_2.00	18
M07912_2.00	15
M07913_2.00	15
M07914_2.00	15
M07915_2.00	21
M07916_2.00	17
M07917_2.00	15
M07918_2.00	14
M07919_2.00	15
M07920_2.00	18
M07921_2.00	15
M07922_2.00	13
M07923_2.00	15
M07924_2.00	15
M07925_2.00	15
M08087_2.00	19
M08238_2.00	15
M08289_2.00	15
M08869_2.00	19
M09503_2.00	20
M09504_2.00	20
M10152_2.00	0
M10153_2.00	0
M10154_2.00	0
M10155_2.00	0
M10156_2.00	0
M10157_2.00	0
M10158_2.00	0
M10159_2.00	0
M07930_2.00	15
M08089_2.00	14
M08885_2.00	17
M09507_2.00	20
M10200_2.00	0
M04388_2.00	11
M04389_2.00	11
M10255_2.00	0
M10256_2.00	0
M02883_2.00	14
M02884_2.00	14
M04437_2.00	13
M04438_2.00	13
M07927_2.00	20
M07928_2.00	15
M07929_2.00	20
M08882_2.00	17
M09506_2.00	10
M10188_2.00	12
M10189_2.00	0
M10190_2.00	0
M10191_2.00	0
M10192_2.00	0
M10193_2.00	0
M10194_2.00	0
M10195_2.00	0
M10196_2.00	0
M00229_2.00	9
M00230_2.00	10
M00231_2.00	8
M00232_2.00	10
M00233_2.00	10
M02885_2.00	11
M02886_2.00	15
M04439_2.00	13
M04440_2.00	13
M08302_2.00	9
M08884_2.00	18
M10197_2.00	12
M10198_2.00	0
M10199_2.00	0
M02915_2.00	15
M04583_2.00	13
M04584_2.00	13
M08349_2.00	9
M10279_2.00	12
M10280_2.00	0
M10281_2.00	0
M02889_2.00	16
M02890_2.00	16
M04461_2.00	13
M04462_2.00	13
M10216_2.00	12
M08307_2.00	15
M08889_2.00	12
M00236_2.00	9
M00237_2.00	8
M00238_2.00	9
M04507_2.00	21
M04508_2.00	21
M08905_2.00	10
M10235_2.00	24
M10236_2.00	0
M00239_2.00	11
M00240_2.00	11
M04523_2.00	21
M04524_2.00	21
M08909_2.00	10
M10243_2.00	0
M10244_2.00	0
M02643_2.00	11
M10176_2.00	0
M10177_2.00	0
M10178_2.00	0
M10179_2.00	0
M02641_2.00	11
M02732_2.00	10
M02875_2.00	14
M02876_2.00	12
M04402_2.00	15
M04403_2.00	15
M10114_2.00	0
M10115_2.00	0
M02642_2.00	11
M04416_2.00	15
M04417_2.00	15
M08875_2.00	11
M10167_2.00	0
M10168_2.00	0
M08394_2.00	21
M02911_2.00	16
M04564_2.00	15
M04565_2.00	15
M08345_2.00	14
M02887_2.00	14
M04449_2.00	14
M04450_2.00	14
M02880_2.00	14
M10169_2.00	0
M10170_2.00	0
M10171_2.00	0
M08301_2.00	9
M10206_2.00	0
M04568_2.00	10
M04569_2.00	10
M08924_2.00	9
M10265_2.00	0
M10266_2.00	0
M02902_2.00	9
M02907_2.00	12
M02908_2.00	20
M02909_2.00	19
M08918_2.00	16
M10262_2.00	0
M10101_2.00	0
M07662_2.00	21
M08939_2.00	8
M10301_2.00	13
M10302_2.00	12
M10303_2.00	13
M10304_2.00	0
M10305_2.00	0
M10306_2.00	9
M10105_2.00	0
M10106_2.00	0
M08320_2.00	9
M08445_2.00	12
M08923_2.00	12
M00223_2.00	9
M00224_2.00	8
M00225_2.00	12
M00226_2.00	8
M08293_2.00	15
M08871_2.00	14
M10163_2.00	0
M10164_2.00	0
M04489_2.00	22
M04490_2.00	22
M08246_2.00	10
M08317_2.00	15
M10228_2.00	0
M00241_2.00	8
M00242_2.00	8
M04554_2.00	22
M04555_2.00	22
M10261_2.00	0
M04430_2.00	11
M04431_2.00	12
M04432_2.00	11
M08299_2.00	15
M08879_2.00	11
M10186_2.00	7
M02903_2.00	18
M04537_2.00	13
M04538_2.00	13
M04539_2.00	13
M04540_2.00	13
M02930_2.00	14
M04657_2.00	13
M04658_2.00	13
M08398_2.00	14
M04511_2.00	12
M04512_2.00	12
M04513_2.00	12
M04514_2.00	12
M08323_2.00	15
M08907_2.00	19
M10241_2.00	0
M02888_2.00	11
M04457_2.00	10
M04458_2.00	10
M04551_2.00	15
M04552_2.00	12
M04553_2.00	15
M04455_2.00	11
M04456_2.00	11
M10210_2.00	0
M10211_2.00	0
M04418_2.00	11
M04419_2.00	11
M04420_2.00	12
M08876_2.00	19
M10172_2.00	0
M10173_2.00	0
M04463_2.00	11
M04464_2.00	11
M08091_2.00	11
M08243_2.00	10
M08894_2.00	10
M10217_2.00	0
M10218_2.00	0
M10219_2.00	0
M10220_2.00	0
M04410_2.00	10
M04411_2.00	10
M08086_2.00	10
M08868_2.00	14
M09502_2.00	10
M10149_2.00	0
M10150_2.00	0
M04400_2.00	11
M04401_2.00	11
M08857_2.00	19
M10113_2.00	0
M08298_2.00	11
M08867_2.00	9
M10147_2.00	0
M10148_2.00	0
M08088_2.00	13
M08880_2.00	15
M08290_2.00	9
M08870_2.00	22
M09505_2.00	8
M10160_2.00	0
M10161_2.00	0
M10162_2.00	0
M08862_2.00	16
M10125_2.00	16
M10126_2.00	11
M10127_2.00	11
M10128_2.00	15
M10129_2.00	11
M10130_2.00	9
M10131_2.00	0
M10132_2.00	0
M02922_2.00	14
M04617_2.00	17
M04618_2.00	17
M08942_2.00	17
M10308_2.00	0
M10309_2.00	0
M10310_2.00	0
M10311_2.00	0
M08283_2.00	12
M02663_2.00	6
M02664_2.00	10
M08236_2.00	7
M08286_2.00	15
M08863_2.00	13
M10133_2.00	8
M10134_2.00	13
M10135_2.00	0
M10136_2.00	0
M04477_2.00	10
M04478_2.00	10
M04521_2.00	10
M04522_2.00	10
M08324_2.00	11
M08908_2.00	16
M04556_2.00	14
M04557_2.00	14
M08919_2.00	9
M00234_2.00	10
M00235_2.00	10
M04445_2.00	13
M04446_2.00	13
M04447_2.00	13
M04448_2.00	13
M10207_2.00	0
M08287_2.00	8
M08864_2.00	22
M10137_2.00	13
M06465_2.00	14
M10286_2.00	0
M10287_2.00	0
M10288_2.00	0
M01171_2.00	10
M10208_2.00	0
M02731_2.00	12
M02874_2.00	15
M04396_2.00	12
M04397_2.00	12
M07845_2.00	15
M08083_2.00	10
M08191_2.00	8
M08192_2.00	9
M08276_2.00	15
M08854_2.00	14
M09500_2.00	12
M10108_2.00	0
M10109_2.00	0
M10110_2.00	0
M10111_2.00	0
M10213_2.00	0
M08897_2.00	14
M09509_2.00	12
M10222_2.00	0
M10223_2.00	0
M10224_2.00	0
M10225_2.00	0
M02881_2.00	13
M04421_2.00	20
M04422_2.00	20
M04423_2.00	20
M08277_2.00	21
M08855_2.00	13
M07610_2.00	24
M07595_2.00	15
M07846_2.00	14
M07847_2.00	15
M07848_2.00	16
M07849_2.00	15
M07850_2.00	15
M07851_2.00	16
M07852_2.00	21
M07853_2.00	15
M07854_2.00	15
M08084_2.00	21
M08861_2.00	22
M09501_2.00	20
M10116_2.00	0
M10117_2.00	21
M10118_2.00	0
M10119_2.00	0
M10120_2.00	0
M10121_2.00	0
M10122_2.00	0
M10123_2.00	0
M10124_2.00	0
M02665_2.00	20
M10203_2.00	14
M10204_2.00	0
M10205_2.00	0
M10246_2.00	0
M08866_2.00	10
M02929_2.00	15
M04655_2.00	11
M04656_2.00	11
M08397_2.00	12
M02925_2.00	13
M04643_2.00	11
M04644_2.00	11
M04441_2.00	10
M04442_2.00	10
M04443_2.00	10
M04444_2.00	10
M08303_2.00	15
M08886_2.00	8
M10201_2.00	0
M10202_2.00	0
M00220_2.00	8
M00221_2.00	7
M00222_2.00	10
M02873_2.00	9
M04392_2.00	10
M04393_2.00	10
M04394_2.00	10
M04395_2.00	10
M08853_2.00	10
M10102_2.00	0
M10103_2.00	0
M10104_2.00	0
M04607_2.00	10
M04608_2.00	10
M02921_2.00	11
M04605_2.00	15
M04606_2.00	15
M08096_2.00	11
M08363_2.00	15
M08938_2.00	22
M10294_2.00	10
M10295_2.00	0
M10296_2.00	0
M10297_2.00	0
M10298_2.00	0
M10299_2.00	0
M10300_2.00	13
M04525_2.00	17
M04526_2.00	17
M07932_2.00	15
M08092_2.00	15
M08326_2.00	9
M08911_2.00	22
M10250_2.00	0
M10251_2.00	0
M10252_2.00	0
M10253_2.00	0
M10254_2.00	0
M02910_2.00	11
M04558_2.00	13
M04559_2.00	13
M08920_2.00	20
M10263_2.00	0
M10264_2.00	0
M02879_2.00	17
M08296_2.00	15
M08873_2.00	20
M10165_2.00	0
M10166_2.00	0
M10319_2.00	0
M10258_2.00	0
M02898_2.00	12
M04517_2.00	12
M04518_2.00	12
M04645_2.00	12
M04646_2.00	12
M01172_2.00	10
M08893_2.00	22
M00243_2.00	7
M00244_2.00	12
M00245_2.00	7
M00246_2.00	7
M00247_2.00	11
M00248_2.00	13
M00249_2.00	11
M08937_2.00	20
M10290_2.00	0
M10291_2.00	0
M10292_2.00	0
M10293_2.00	0
M02877_2.00	11
M04406_2.00	23
M04407_2.00	14
M04408_2.00	23
M04409_2.00	14
M05845_2.00	13
M07855_2.00	15
M07856_2.00	11
M07857_2.00	15
M07858_2.00	15
M07859_2.00	15
M07860_2.00	15
M07861_2.00	13
M08085_2.00	12
M08237_2.00	15
M08288_2.00	12
M08865_2.00	12
M10138_2.00	17
M10139_2.00	20
M10140_2.00	0
M10141_2.00	0
M10142_2.00	0
M10143_2.00	0
M10144_2.00	0
M10145_2.00	0
M10146_2.00	0
M02926_2.00	11
M02927_2.00	11
M02928_2.00	12
M04647_2.00	14
M04648_2.00	14
M10112_2.00	0
M04633_2.00	14
M04634_2.00	14
M04635_2.00	14
M04636_2.00	14
M08269_2.00	17
M08389_2.00	9
M04629_2.00	16
M04630_2.00	16
M04631_2.00	16
M04632_2.00	16
M08387_2.00	9
M08954_2.00	9
M10316_2.00	0
M10317_2.00	0
M10174_2.00	0
M10175_2.00	0
M08878_2.00	19
M02916_2.00	13
M02917_2.00	13
M04585_2.00	13
M04586_2.00	13
M08257_2.00	12
M08350_2.00	9
M08928_2.00	11
M10282_2.00	12
M10283_2.00	0
M04595_2.00	12
M04596_2.00	12
M10284_2.00	0
M10285_2.00	0
M04599_2.00	12
M04600_2.00	12
M04651_2.00	17
M04652_2.00	17
M04547_2.00	12
M04548_2.00	12
M08340_2.00	21
M04390_2.00	19
M04391_2.00	19
M04570_2.00	20
M08094_2.00	15
M08925_2.00	15
M09511_2.00	15
M10267_2.00	0
M10268_2.00	0
M10269_2.00	0
M10270_2.00	0
M10271_2.00	0
M04603_2.00	17
M04604_2.00	17
M08351_2.00	9
M04533_2.00	20
M04534_2.00	20
M01173_2.00	11
M04433_2.00	11
M04434_2.00	11
M08391_2.00	11
M08956_2.00	12
M02901_2.00	17
M08364_2.00	15
M08940_2.00	13
M10307_2.00	13
M02914_2.00	12
M04579_2.00	11
M04580_2.00	11
M07937_2.00	15
M08095_2.00	13
M08926_2.00	9
M10273_2.00	0
M10274_2.00	0
M10275_2.00	0
M10276_2.00	0
M10277_2.00	0
M02895_2.00	12
M04497_2.00	10
M04498_2.00	10
M10233_2.00	0
M02920_2.00	12
M10289_2.00	0
M04601_2.00	15
M04602_2.00	15
M05854_2.00	15
M05855_2.00	15
M07670_2.00	28
M05848_2.00	17
M07592_2.00	15
M08378_2.00	33
M08949_2.00	20
M08258_2.00	15
M08355_2.00	18
M04597_2.00	15
M04598_2.00	15
M04581_2.00	15
M04582_2.00	15
M08348_2.00	12
M08927_2.00	12
M10278_2.00	0
M07756_2.00	6
M08275_2.00	15
M07686_2.00	18
M07685_2.00	12
M05853_2.00	18
M08356_2.00	21
M08930_2.00	24
M07672_2.00	12
M10312_2.00	0
M08850_2.00	10
M10098_2.00	0
M02893_2.00	14
M04485_2.00	15
M04486_2.00	15
M04487_2.00	15
M04488_2.00	15
M08900_2.00	9
M10226_2.00	9
M10227_2.00	0
M08233_2.00	11
M10107_2.00	9
M02894_2.00	15
M04491_2.00	16
M04492_2.00	16
M04493_2.00	15
M04494_2.00	15
M08902_2.00	15
M10229_2.00	9
M02912_2.00	15
M04566_2.00	15
M04567_2.00	15
M04471_2.00	16
M04472_2.00	16
M07633_2.00	21
M07779_2.00	30
M07591_2.00	12
M08312_2.00	18
M08895_2.00	19
M05847_2.00	13
M08874_2.00	19
M02923_2.00	14
M07696_2.00	9
M07709_2.00	9
M05856_2.00	17
M07774_2.00	9
M07715_2.00	15
M07663_2.00	15
M07650_2.00	28
M04515_2.00	21
M04516_2.00	21
M07611_2.00	18
M08384_2.00	24
M08951_2.00	20
M07702_2.00	12
M07588_2.00	15
M07580_2.00	30
M08392_2.00	15
M08957_2.00	22
M05851_2.00	15
M07647_2.00	9
M07708_2.00	27
M08265_2.00	21
M08374_2.00	18
M08946_2.00	24
M04621_2.00	14
M04622_2.00	14
M08372_2.00	24
M08945_2.00	24
M07586_2.00	24
M02899_2.00	16
M07931_2.00	15
M08910_2.00	22
M09510_2.00	15
M10247_2.00	22
M10248_2.00	21
M10249_2.00	0
M08329_2.00	15
M08913_2.00	24
M10238_2.00	0
M10239_2.00	0
M10240_2.00	0
M07656_2.00	15
M07596_2.00	24
M08251_2.00	15
M08336_2.00	18
M07645_2.00	6
M07681_2.00	30
M04414_2.00	16
M04415_2.00	16
M08292_2.00	21
M04615_2.00	23
M04616_2.00	23
M07602_2.00	15
M08316_2.00	12
M08901_2.00	12
M07614_2.00	21
M07730_2.00	24
M07597_2.00	12
M07571_2.00	27
M08285_2.00	9
M07589_2.00	12
M08244_2.00	7
M08311_2.00	18
M07603_2.00	18
M07684_2.00	15
M07780_2.00	9
M00217_2.00	11
M00218_2.00	10
M00219_2.00	10
M08232_2.00	6
M08273_2.00	12
M07612_2.00	8
M07578_2.00	9
M07577_2.00	9
M07625_2.00	30
M08284_2.00	15
M07599_2.00	20
M08314_2.00	24
M08898_2.00	22
M10260_2.00	0
M10245_2.00	0
M08325_2.00	9
M07604_2.00	9
M07654_2.00	14
